scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
oysters,3,29,0.15506268312663102,0.12559950371051376,0.1549285910410246,0.18467861974411895
social,0,29,0.40123720567299087,0.34148172449387065,0.40172885959036636,0.45879892453251814
social,1,29,0.24638795981942133,0.2123334312315247,0.24587300651319235,0.27963898778833635
social,2,29,0.2148692812926292,0.18424550319426275,0.2148685924282117,0.24756634479659675
social,3,29,0.13750555321495858,0.11469030366850427,0.13746237663692404,0.16068540966323772
soup,0,29,0.44566089080840215,0.39454856803132254,0.44465310201694735,0.49620236838835874
soup,1,29,0.21387272145780276,0.1830390550664583,0.21389805146206964,0.2455357760032299
soup,2,29,0.1847068077183863,0.15770158127085482,0.1844690943811263,0.20821500762925396
soup,3,29,0.15575958001540877,0.12642453156044042,0.156732897097442,0.19070335102546443
wedding,0,29,0.36195389410295115,0.32445822215369136,0.3620512267440781,0.4010692245410074
wedding,1,29,0.24392661255671313,0.2133640374288594,0.24396862791169044,0.27172455079909624
wedding,2,29,0.23391371914012685,0.20316819539750233,0.23351722131709438,0.26505051617313846
wedding,3,29,0.16020577420020887,0.133196584807512,0.1600150865049629,0.19261372259180037
