scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
cooking,not_close,0,1,20,1.5500000000000003,1.1299516908212561,1.5515356908923976,2
cooking,not_close,0,2,20,4.15,3.3887820512820515,4.160642951550849,4.960999999999999
cooking,not_close,0,3,20,4.85,4,4.842736508462664,5.666666666666667
cooking,somewhat_close,1,0,20,1.85,1.2220238095238096,1.8733193027122204,2.7001470588235295
cooking,somewhat_close,1,1,20,1.55,1.1538461538461537,1.5445324165835383,2.111458333333333
cooking,somewhat_close,1,2,20,3.15,2.5383333333333336,3.1482920539655748,3.8
cooking,somewhat_close,1,3,20,4.4,3.4283834586466164,4.383318918118855,5.27797619047619
cooking,close,2,0,24,2.375,1.75,2.385342849816564,3.0912679425837317
cooking,close,2,1,24,1.4166666666666665,1.0398928571428572,1.4257267565068623,2
cooking,close,2,2,24,2.666666666666667,2,2.680604467341766,3.4571726190476193
cooking,close,2,3,24,3.583333333333333,2.807236842105263,3.5599918799800734,4.3
cooking,extremely_close,3,0,25,1.96,1.321392857142857,1.9623004223650673,2.6842105263157894
cooking,extremely_close,3,1,25,1.28,1.037037037037037,1.270700607991439,1.5715659340659338
cooking,extremely_close,3,2,25,2.3600000000000003,1.7138198757763974,2.373757923623951,3.1500961538461536
cooking,extremely_close,3,3,25,3.08,2.2350935828877008,3.0738410430214187,3.9630555555555556
crabs,not_close,0,0,27,2.074074074074074,1.5237577639751552,2.083271163455246,2.8003124999999995
crabs,not_close,0,1,27,1.5185185185185186,1.2727272727272727,1.5248626266611551,1.8573051948051946
crabs,not_close,0,2,27,4.962962962962963,4.304239130434782,4.972725348592429,5.643131868131868
crabs,not_close,0,3,27,5.592592592592593,4.817727272727272,5.581194696079338,6.2382034632034635
crabs,somewhat_close,1,0,22,1.8181818181818181,1.2352941176470589,1.8421267393925227,2.5420138888888886
crabs,somewhat_close,1,1,22,1.6818181818181819,1.2857142857142858,1.6792907390249971,2.111111111111111
crabs,somewhat_close,1,2,22,5.545454545454546,4.944444444444445,5.539050504389787,6.090909090909091
crabs,somewhat_close,1,3,22,5.5,4.909090909090909,5.509364751818041,6.062723214285714
crabs,close,2,0,19,2.1052631578947367,1.6499264705882353,2.1079121819978126,2.6254464285714283
crabs,close,2,1,19,1.8421052631578947,1.2666666666666666,1.87453172211441,2.5716165413533836
crabs,close,2,2,19,4.052631578947368,3.1575187969924814,4.0575935522241355,5
crabs,close,2,3,19,4.7368421052631575,4.038425925925926,4.743587574162811,5.388888888888889
crabs,extremely_close,3,0,21,1.6666666666666665,1.2,1.6777483858308717,2.25
crabs,extremely_close,3,1,21,1.8095238095238098,1.1904761904761905,1.7853856416463454,2.5173538230884556
crabs,extremely_close,3,2,21,3.9523809523809526,3.2630604288499026,3.9606259353113438,4.666666666666667
crabs,extremely_close,3,3,21,3.857142857142857,2.9411764705882355,3.841430978258741,4.7894736842105265
dip,not_close,0,0,25,1.24,1,1.2429191137939115,1.5714285714285714
dip,not_close,0,1,25,3.32,2.7330555555555556,3.3411084111374407,4
dip,not_close,0,2,25,3.84,3.1666666666666665,3.8518461298786457,4.500431034482758
dip,not_close,0,3,25,5.68,5.0665625,5.680047442464368,6.238392857142857
dip,somewhat_close,1,0,22,1.3636363636363638,1.0454545454545454,1.3502254636300743,1.772727272727273
dip,somewhat_close,1,1,22,2.3181818181818183,1.769047619047619,2.333376594911022,2.941456582633053
dip,somewhat_close,1,2,22,3.090909090909091,2.3157894736842106,3.105839109289317,3.933333333333333
dip,somewhat_close,1,3,22,5.318181818181818,4.5,5.301363499464857,6.052704678362573
dip,close,2,0,19,1.4210526315789473,1,1.4183799849159306,2
dip,close,2,1,19,2.1578947368421053,1.5833333333333333,2.1557372405963346,2.81489898989899
dip,close,2,2,19,3.0526315789473686,2.2496323529411764,3.0505711220136353,3.823774509803921
dip,close,2,3,19,4.842105263157895,4.0588235294117645,4.835064415472055,5.571616541353383
dip,extremely_close,3,0,23,1.5217391304347825,1.0907196969696968,1.515474375959927,2.125
dip,extremely_close,3,1,23,2.217391304347826,1.5237577639751552,2.213823473799034,3.0324131513647643
dip,extremely_close,3,2,23,2.782608695652174,2,2.7805209459751867,3.6088008415147264
dip,extremely_close,3,3,23,4.173913043478261,3.5554166666666664,4.169858343398349,4.894987468671678
drinks,not_close,0,0,18,2.111111111111111,1.2352941176470589,2.0720524881037714,3.0670833333333327
drinks,not_close,0,1,18,2,1.5555555555555556,2.0028739009911285,2.524047619047619
drinks,not_close,0,2,18,3.2222222222222223,2.5,3.2163393127025803,4
drinks,not_close,0,3,18,4.444444444444445,3.6923076923076925,4.456533691024778,5.1883680555555545
drinks,somewhat_close,1,0,22,1.0909090909090908,1,1.0914537066109198,1.2272727272727273
drinks,somewhat_close,1,1,22,1.6363636363636365,1.257647385984427,1.6383992139354078,2.091055718475073
drinks,somewhat_close,1,2,22,3.227272727272727,2.5714285714285716,3.2235962850668884,3.8698260869565213
drinks,somewhat_close,1,3,22,4.590909090909091,4,4.613387905725647,5.1820346320346315
drinks,close,2,0,25,1.3599999999999999,1.0833333333333333,1.3491702509382455,1.7083333333333333
drinks,close,2,1,25,1.6,1.1874421296296296,1.5992243466445644,2.166847826086957
drinks,close,2,2,25,2.2800000000000002,1.7930127041742285,2.2749077906890496,2.7586551724137935
drinks,close,2,3,25,3.2,2.587952488687783,3.213775637544354,3.882516339869281
drinks,extremely_close,3,0,24,3,2.1175904977375564,3.001014949945695,3.954594861660079
drinks,extremely_close,3,1,24,2.041666666666667,1.4705882352941178,2.0484535217877893,2.7274242424242425
drinks,extremely_close,3,2,24,3.125,2.4,3.108524001506762,3.8849137931034483
drinks,extremely_close,3,3,24,2.875,2.1534090909090913,2.8836137397856696,3.7142857142857144
driving,not_close,0,0,20,1.95,1.2799444444444443,1.9542739567775596,2.6666666666666665
driving,not_close,0,1,20,1.35,1.041550925925926,1.352854231946055,1.7274242424242423
driving,not_close,0,2,20,4.05,3.3123798076923077,4.060719471766763,4.8423026315789475
driving,not_close,0,3,20,5.75,5,5.7509515753952885,6.38894927536232
driving,somewhat_close,1,0,22,1.7272727272727273,1.2380952380952381,1.727201749734478,2.3203333333333327
driving,somewhat_close,1,1,22,1.3636363636363638,1.0476190476190477,1.3597373389329794,1.720181818181818
driving,somewhat_close,1,2,22,3.3181818181818183,2.7,3.3268148898365664,4
driving,somewhat_close,1,3,22,4.954545454545454,4.238095238095238,4.967991724949479,5.666666666666667
driving,close,2,0,25,1.6400000000000001,1.1538461538461537,1.641828089499597,2.2
driving,close,2,1,25,1.4,1.0325000000000002,1.393793364384413,1.8639204545454544
driving,close,2,2,25,3,2.3333333333333335,3.004791852491654,3.792067307692307
