subject_id,scenario_label,action_condition,effort_condition,intimacy_condition,stage,response
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,driving,action_1,high,75,prior,91
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,driving,action_1,high,75,posterior,95
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,gala,action_2,low,100,prior,93
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,gala,action_2,low,100,posterior,94
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,fair,action_2,high,50,prior,51
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,fair,action_2,high,50,posterior,53
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,apples,action_1,low,100,prior,93
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,apples,action_1,low,100,posterior,92
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,social,action_1,high,0,prior,97
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,social,action_1,high,0,posterior,96
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,wedding,action_0,low,100,prior,88
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,wedding,action_0,low,100,posterior,8
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,drinks,action_1,low,75,prior,96
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,drinks,action_1,low,75,posterior,96
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,takeout,action_2,high,75,prior,89
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,takeout,action_2,high,75,posterior,91
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,brunch,action_0,low,0,prior,51
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,brunch,action_0,low,0,posterior,51
0e97af8d-1833-5a45-8b9e-5322dec59cd0,social,action_1,low,100,prior,82
0e97af8d-1833-5a45-8b9e-5322dec59cd0,social,action_1,low,100,posterior,82
0e97af8d-1833-5a45-8b9e-5322dec59cd0,driving,action_0,low,100,prior,85
0e97af8d-1833-5a45-8b9e-5322dec59cd0,driving,action_0,low,100,posterior,82
0e97af8d-1833-5a45-8b9e-5322dec59cd0,fair,action_2,low,100,prior,81
0e97af8d-1833-5a45-8b9e-5322dec59cd0,fair,action_2,low,100,posterior,78
0e97af8d-1833-5a45-8b9e-5322dec59cd0,wedding,action_2,low,0,prior,87
0e97af8d-1833-5a45-8b9e-5322dec59cd0,wedding,action_2,low,0,posterior,79
0e97af8d-1833-5a45-8b9e-5322dec59cd0,oysters,action_1,high,0,prior,83
0e97af8d-1833-5a45-8b9e-5322dec59cd0,oysters,action_1,high,0,posterior,84
0e97af8d-1833-5a45-8b9e-5322dec59cd0,gala,action_1,low,75,prior,84
0e97af8d-1833-5a45-8b9e-5322dec59cd0,gala,action_1,low,75,posterior,80
0e97af8d-1833-5a45-8b9e-5322dec59cd0,dip,action_0,low,75,prior,83
0e97af8d-1833-5a45-8b9e-5322dec59cd0,dip,action_0,low,75,posterior,88
0e97af8d-1833-5a45-8b9e-5322dec59cd0,birthday,action_2,high,50,prior,82
0e97af8d-1833-5a45-8b9e-5322dec59cd0,birthday,action_2,high,50,posterior,71
0e97af8d-1833-5a45-8b9e-5322dec59cd0,basketball,action_1,high,75,prior,70
0e97af8d-1833-5a45-8b9e-5322dec59cd0,basketball,action_1,high,75,posterior,74
0e97af8d-1833-5a45-8b9e-5322dec59cd0,hike,action_2,low,50,prior,76
0e97af8d-1833-5a45-8b9e-5322dec59cd0,hike,action_2,low,50,posterior,74
0e97af8d-1833-5a45-8b9e-5322dec59cd0,brunch,action_0,high,100,prior,77
0e97af8d-1833-5a45-8b9e-5322dec59cd0,brunch,action_0,high,100,posterior,67
0e97af8d-1833-5a45-8b9e-5322dec59cd0,takeout,action_0,high,50,prior,75
0e97af8d-1833-5a45-8b9e-5322dec59cd0,takeout,action_0,high,50,posterior,78
0e97af8d-1833-5a45-8b9e-5322dec59cd0,cooking,action_0,low,0,prior,77
0e97af8d-1833-5a45-8b9e-5322dec59cd0,cooking,action_0,low,0,posterior,59
0e97af8d-1833-5a45-8b9e-5322dec59cd0,apples,action_2,high,75,prior,71
0e97af8d-1833-5a45-8b9e-5322dec59cd0,apples,action_2,high,75,posterior,72
0e97af8d-1833-5a45-8b9e-5322dec59cd0,soup,action_1,low,50,prior,72
0e97af8d-1833-5a45-8b9e-5322dec59cd0,soup,action_1,low,50,posterior,63
0e97af8d-1833-5a45-8b9e-5322dec59cd0,drinks,action_0,high,75,prior,74
0e97af8d-1833-5a45-8b9e-5322dec59cd0,drinks,action_0,high,75,posterior,70
049ae7cd-224a-572d-adad-77fdbab165ac,cooking,action_2,low,100,prior,88
049ae7cd-224a-572d-adad-77fdbab165ac,cooking,action_2,low,100,posterior,97
049ae7cd-224a-572d-adad-77fdbab165ac,apples,action_1,low,75,prior,73
049ae7cd-224a-572d-adad-77fdbab165ac,apples,action_1,low,75,posterior,93
049ae7cd-224a-572d-adad-77fdbab165ac,hike,action_1,low,50,prior,22
049ae7cd-224a-572d-adad-77fdbab165ac,hike,action_1,low,50,posterior,8
049ae7cd-224a-572d-adad-77fdbab165ac,basketball,action_0,low,0,prior,86
049ae7cd-224a-572d-adad-77fdbab165ac,basketball,action_0,low,0,posterior,0
049ae7cd-224a-572d-adad-77fdbab165ac,takeout,action_1,low,100,prior,78
049ae7cd-224a-572d-adad-77fdbab165ac,takeout,action_1,low,100,posterior,60
049ae7cd-224a-572d-adad-77fdbab165ac,birthday,action_0,low,100,prior,68
049ae7cd-224a-572d-adad-77fdbab165ac,birthday,action_0,low,100,posterior,6
049ae7cd-224a-572d-adad-77fdbab165ac,gala,action_2,high,50,prior,66
049ae7cd-224a-572d-adad-77fdbab165ac,gala,action_2,high,50,posterior,100
049ae7cd-224a-572d-adad-77fdbab165ac,drinks,action_2,low,75,prior,60
049ae7cd-224a-572d-adad-77fdbab165ac,drinks,action_2,low,75,posterior,100
049ae7cd-224a-572d-adad-77fdbab165ac,wedding,action_1,high,75,prior,50
049ae7cd-224a-572d-adad-77fdbab165ac,wedding,action_1,high,75,posterior,100
049ae7cd-224a-572d-adad-77fdbab165ac,driving,action_0,high,50,prior,69
049ae7cd-224a-572d-adad-77fdbab165ac,driving,action_0,high,50,posterior,28
049ae7cd-224a-572d-adad-77fdbab165ac,dip,action_2,high,75,prior,61
049ae7cd-224a-572d-adad-77fdbab165ac,dip,action_2,high,75,posterior,100
049ae7cd-224a-572d-adad-77fdbab165ac,brunch,action_2,low,50,prior,50
049ae7cd-224a-572d-adad-77fdbab165ac,brunch,action_2,low,50,posterior,50
049ae7cd-224a-572d-adad-77fdbab165ac,fair,action_1,high,0,prior,76
049ae7cd-224a-572d-adad-77fdbab165ac,fair,action_1,high,0,posterior,100
049ae7cd-224a-572d-adad-77fdbab165ac,soup,action_0,low,75,prior,38
049ae7cd-224a-572d-adad-77fdbab165ac,soup,action_0,low,75,posterior,0
049ae7cd-224a-572d-adad-77fdbab165ac,social,action_0,high,100,prior,5
049ae7cd-224a-572d-adad-77fdbab165ac,social,action_0,high,100,posterior,0
049ae7cd-224a-572d-adad-77fdbab165ac,oysters,action_1,low,0,prior,51
049ae7cd-224a-572d-adad-77fdbab165ac,oysters,action_1,low,0,posterior,100
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,drinks,action_2,high,0,prior,11
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,drinks,action_2,high,0,posterior,100
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,oysters,action_1,low,100,prior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,oysters,action_1,low,100,posterior,19
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,apples,action_2,low,0,prior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,apples,action_2,low,0,posterior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,fair,action_2,low,50,prior,62
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,fair,action_2,low,50,posterior,93
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,cooking,action_2,high,100,prior,83
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,cooking,action_2,high,100,posterior,100
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,hike,action_1,high,0,prior,63
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,hike,action_1,high,0,posterior,87
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,birthday,action_1,low,75,prior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,birthday,action_1,low,75,posterior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,takeout,action_2,high,50,prior,80
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,takeout,action_2,high,50,posterior,87
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,social,action_0,high,50,prior,64
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,social,action_0,high,50,posterior,0
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,brunch,action_0,low,50,prior,50
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,brunch,action_0,low,50,posterior,0
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,basketball,action_0,low,100,prior,64
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,basketball,action_0,low,100,posterior,0
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,gala,action_0,low,0,prior,21
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,gala,action_0,low,0,posterior,0
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,wedding,action_0,high,100,prior,65
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,wedding,action_0,high,100,posterior,0
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,driving,action_1,high,50,prior,70
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,driving,action_1,high,50,posterior,87
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,soup,action_2,high,75,prior,59
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,soup,action_2,high,75,posterior,100
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,dip,action_0,high,75,prior,57
c6f8a1e1-0083-5f6a-b79d-6ad707e366aa,dip,action_0,high,75,posterior,0
ac600481-2826-501c-bd46-c7076eca2180,apples,action_0,low,100,prior,75
ac600481-2826-501c-bd46-c7076eca2180,apples,action_0,low,100,posterior,25
ac600481-2826-501c-bd46-c7076eca2180,gala,action_1,low,100,prior,100
ac600481-2826-501c-bd46-c7076eca2180,gala,action_1,low,100,posterior,100
ac600481-2826-501c-bd46-c7076eca2180,basketball,action_0,high,75,prior,35
ac600481-2826-501c-bd46-c7076eca2180,basketball,action_0,high,75,posterior,15
ac600481-2826-501c-bd46-c7076eca2180,drinks,action_2,high,100,prior,27
ac600481-2826-501c-bd46-c7076eca2180,drinks,action_2,high,100,posterior,100
ac600481-2826-501c-bd46-c7076eca2180,hike,action_2,high,75,prior,23
ac600481-2826-501c-bd46-c7076eca2180,hike,action_2,high,75,posterior,59
ac600481-2826-501c-bd46-c7076eca2180,takeout,action_0,low,50,prior,74
ac600481-2826-501c-bd46-c7076eca2180,takeout,action_0,low,50,posterior,20
ac600481-2826-501c-bd46-c7076eca2180,fair,action_0,low,75,prior,38
ac600481-2826-501c-bd46-c7076eca2180,fair,action_0,low,75,posterior,18
ac600481-2826-501c-bd46-c7076eca2180,social,action_0,high,100,prior,23
ac600481-2826-501c-bd46-c7076eca2180,social,action_0,high,100,posterior,11
ac600481-2826-501c-bd46-c7076eca2180,soup,action_0,high,50,prior,15
ac600481-2826-501c-bd46-c7076eca2180,soup,action_0,high,50,posterior,0
ac600481-2826-501c-bd46-c7076eca2180,brunch,action_1,high,75,prior,65
ac600481-2826-501c-bd46-c7076eca2180,brunch,action_1,high,75,posterior,87
ac600481-2826-501c-bd46-c7076eca2180,dip,action_1,high,0,prior,9
ac600481-2826-501c-bd46-c7076eca2180,dip,action_1,high,0,posterior,100
ac600481-2826-501c-bd46-c7076eca2180,driving,action_2,high,50,prior,84
ac600481-2826-501c-bd46-c7076eca2180,driving,action_2,high,50,posterior,98
ac600481-2826-501c-bd46-c7076eca2180,cooking,action_1,low,75,prior,100
ac600481-2826-501c-bd46-c7076eca2180,cooking,action_1,low,75,posterior,100
ac600481-2826-501c-bd46-c7076eca2180,birthday,action_2,low,50,prior,68
ac600481-2826-501c-bd46-c7076eca2180,birthday,action_2,low,50,posterior,60
ac600481-2826-501c-bd46-c7076eca2180,oysters,action_2,low,0,prior,33
ac600481-2826-501c-bd46-c7076eca2180,oysters,action_2,low,0,posterior,100
ac600481-2826-501c-bd46-c7076eca2180,wedding,action_0,low,0,prior,76
ac600481-2826-501c-bd46-c7076eca2180,wedding,action_0,low,0,posterior,15
f58533dc-c454-5962-b6ed-de0fc199bcc1,cooking,action_2,high,100,prior,88
f58533dc-c454-5962-b6ed-de0fc199bcc1,cooking,action_2,high,100,posterior,86
f58533dc-c454-5962-b6ed-de0fc199bcc1,wedding,action_0,low,100,prior,20
f58533dc-c454-5962-b6ed-de0fc199bcc1,wedding,action_0,low,100,posterior,13
f58533dc-c454-5962-b6ed-de0fc199bcc1,gala,action_2,low,75,prior,19
f58533dc-c454-5962-b6ed-de0fc199bcc1,gala,action_2,low,75,posterior,61
f58533dc-c454-5962-b6ed-de0fc199bcc1,fair,action_0,high,0,prior,19
f58533dc-c454-5962-b6ed-de0fc199bcc1,fair,action_0,high,0,posterior,20
f58533dc-c454-5962-b6ed-de0fc199bcc1,birthday,action_2,high,75,prior,75
f58533dc-c454-5962-b6ed-de0fc199bcc1,birthday,action_2,high,75,posterior,78
f58533dc-c454-5962-b6ed-de0fc199bcc1,soup,action_1,low,0,prior,14
f58533dc-c454-5962-b6ed-de0fc199bcc1,soup,action_1,low,0,posterior,67
f58533dc-c454-5962-b6ed-de0fc199bcc1,apples,action_0,low,75,prior,67
f58533dc-c454-5962-b6ed-de0fc199bcc1,apples,action_0,low,75,posterior,18
f58533dc-c454-5962-b6ed-de0fc199bcc1,social,action_2,high,0,prior,16
f58533dc-c454-5962-b6ed-de0fc199bcc1,social,action_2,high,0,posterior,86
f58533dc-c454-5962-b6ed-de0fc199bcc1,oysters,action_1,high,75,prior,85
f58533dc-c454-5962-b6ed-de0fc199bcc1,oysters,action_1,high,75,posterior,81
f58533dc-c454-5962-b6ed-de0fc199bcc1,driving,action_0,high,50,prior,22
f58533dc-c454-5962-b6ed-de0fc199bcc1,driving,action_0,high,50,posterior,17
f58533dc-c454-5962-b6ed-de0fc199bcc1,basketball,action_1,low,50,prior,79
f58533dc-c454-5962-b6ed-de0fc199bcc1,basketball,action_1,low,50,posterior,84
f58533dc-c454-5962-b6ed-de0fc199bcc1,hike,action_1,high,100,prior,22
f58533dc-c454-5962-b6ed-de0fc199bcc1,hike,action_1,high,100,posterior,21
