scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
birthday,close,2,1,24,1.2083333333333333,1.0344827586206897,1.2072554980770174,1.434782608695652
birthday,close,2,2,24,2.3333333333333335,1.646671826625387,2.3329403088307106,3.087163561076604
birthday,close,2,3,24,3.6666666666666665,2.833152173913043,3.6507352702020044,4.5
birthday,extremely_close,3,0,21,1.4761904761904763,1.1537499999999998,1.4886669398153174,1.944517543859649
birthday,extremely_close,3,1,21,1.4285714285714284,1.0525657894736842,1.4440016912135294,2
birthday,extremely_close,3,2,21,2.1904761904761907,1.6666666666666667,2.189793113461069,2.7619747899159663
birthday,extremely_close,3,3,21,3.5238095238095237,2.8095238095238093,3.5219553490824613,4.333333333333333
brunch,not_close,0,0,24,1,1,1,1
brunch,not_close,0,1,24,1.5,1.1998076923076924,1.5047519726667269,1.8697010869565214
brunch,not_close,0,2,24,2.7083333333333335,2.0831730769230767,2.728975730416558,3.5
brunch,not_close,0,3,24,4.916666666666667,4.315503432494279,4.929710531970855,5.5
brunch,somewhat_close,1,0,26,1.1923076923076923,1.0384615384615385,1.1904965382163608,1.3913431677018633
brunch,somewhat_close,1,1,26,1.5384615384615385,1.1249053030303031,1.524208103307821,2.034513546798029
brunch,somewhat_close,1,2,26,2.1923076923076925,1.6153846153846154,2.192688294950594,2.809740259740259
brunch,somewhat_close,1,3,26,3.769230769230769,3.260829307568438,3.7637114401761225,4.354838709677419
brunch,close,2,0,21,1.380952380952381,1,1.3775863728044508,1.8697010869565214
brunch,close,2,1,21,1.4285714285714284,1.0832499999999998,1.4329781280028053,1.8667391304347825
brunch,close,2,2,21,2.142857142857143,1.5,2.1442118611851035,2.846428571428571
brunch,close,2,3,21,3.0476190476190474,2.2,3.03792873897297,3.8639204545454544
brunch,extremely_close,3,0,18,1.5,1.0666666666666667,1.5009352026140594,2.0626041666666666
brunch,extremely_close,3,1,18,1.1111111111111112,1,1.1163583430153399,1.3636363636363635
brunch,extremely_close,3,2,18,1.5555555555555556,1.2,1.560806475036304,2
brunch,extremely_close,3,3,18,2.1666666666666665,1.4814009661835748,2.155469585140665,2.8823529411764706
conference,not_close,0,0,21,2.0952380952380953,1.4088636363636364,2.0947447150042335,2.857453416149068
conference,not_close,0,1,21,1.2857142857142858,1,1.2847236794179728,1.807738095238095
conference,not_close,0,2,21,5.190476190476191,4.523214285714285,5.199168523980198,5.812839673913043
conference,not_close,0,3,21,6.285714285714286,5.666666666666667,6.283959745376764,6.833333333333333
conference,somewhat_close,1,0,22,1.3636363636363638,1.0665625,1.3694985577834142,1.7502499999999999
conference,somewhat_close,1,1,22,1.2727272727272727,1.0665625,1.2721154559955217,1.5238721804511275
conference,somewhat_close,1,2,22,3.3636363636363638,2.68,3.363232052399073,4.0800833333333335
conference,somewhat_close,1,3,22,5.136363636363637,4.299791666666667,5.115838845458712,5.882516339869281
conference,close,2,0,23,1.391304347826087,1.0384615384615385,1.3886214580792369,1.875125
conference,close,2,1,23,1.5217391304347827,1.0554824561403509,1.5226231975049198,2.111111111111111
conference,close,2,2,23,2.782608695652174,2.076923076923077,2.790524548541292,3.595007507507507
conference,close,2,3,23,4.478260869565218,3.8076612903225806,4.464306958598367,5.095357142857142
conference,extremely_close,3,0,23,1.434782608695652,1.0951298701298704,1.4314730524601773,1.8802222222222218
conference,extremely_close,3,1,23,1.6956521739130437,1.1598461538461537,1.6879597590933657,2.4
conference,extremely_close,3,2,23,2.5217391304347827,1.9373958333333334,2.5254556008740487,3.076923076923077
conference,extremely_close,3,3,23,3.8260869565217392,3,3.817594173963061,4.640071428571428
cooking,not_close,0,0,20,2.2,1.5237577639751552,2.19715103340507,2.937591911764706
cooking,not_close,0,1,20,1.5500000000000003,1.1577935222672064,1.558564054137914,2.0714285714285716
cooking,not_close,0,2,20,4.15,3.3328125,4.144920036288763,4.945833333333332
cooking,not_close,0,3,20,4.85,4.062408088235294,4.8722290948542035,5.64296218487395
cooking,somewhat_close,1,0,20,1.85,1.1904761904761905,1.840332742275612,2.6666666666666665
cooking,somewhat_close,1,1,20,1.55,1.1666666666666667,1.5540731634917122,2.1252840909090907
cooking,somewhat_close,1,2,20,3.15,2.5878151260504203,3.1555450581159517,3.8400526315789474
cooking,somewhat_close,1,3,20,4.4,3.4759523809523807,4.40111892664557,5.272853535353535
cooking,close,2,0,24,2.375,1.7366902834008098,2.370236937738573,3.043780193236715
cooking,close,2,1,24,1.4166666666666665,1.0434329710144927,1.41524315279046,1.9339999999999993
cooking,close,2,2,24,2.666666666666667,2.035654761904762,2.671368293595338,3.428726708074534
cooking,close,2,3,24,3.583333333333333,2.799736842105263,3.5985732088572426,4.450654761904762
cooking,extremely_close,3,0,25,1.96,1.3477842809364549,1.9538064825932038,2.6928571428571426
cooking,extremely_close,3,1,25,1.28,1.0434782608695652,1.2775805911454448,1.56
cooking,extremely_close,3,2,25,2.3600000000000003,1.6666666666666667,2.3492461276368513,3.1305072463768115
cooking,extremely_close,3,3,25,3.08,2.263157894736842,3.111513220283807,4.001136363636363
crabs,not_close,0,0,27,2.074074074074074,1.4814814814814814,2.059135418687828,2.7369395711500974
crabs,not_close,0,1,27,1.5185185185185186,1.2630604288499026,1.5247848687153442,1.8387419354838708
crabs,not_close,0,2,27,4.962962962962963,4.285714285714286,4.964508130463776,5.6
crabs,not_close,0,3,27,5.592592592592593,4.807638888888889,5.5992815645302425,6.238095238095238
crabs,somewhat_close,1,0,22,1.8181818181818181,1.2221014492753624,1.8190642692273042,2.5455681818181817
crabs,somewhat_close,1,1,22,1.6818181818181819,1.2940563725490197,1.6768850977956715,2.125208333333333
crabs,somewhat_close,1,2,22,5.545454545454546,4.923,5.535430553267299,6.077173913043477
crabs,somewhat_close,1,3,22,5.5,4.874375,5.491323259785801,6.095238095238095
crabs,close,2,0,19,2.1052631578947367,1.6470588235294117,2.1000824173127017,2.5789473684210527
crabs,close,2,1,19,1.8421052631578947,1.272488038277512,1.8559934303142012,2.580901759530792
crabs,close,2,2,19,4.052631578947368,3.1995454545454547,4.065548535363517,5
crabs,close,2,3,19,4.7368421052631575,4.049940476190476,4.731108218304996,5.375148809523809
crabs,extremely_close,3,0,21,1.6666666666666665,1.208125,1.6700155431299462,2.2222222222222223
crabs,extremely_close,3,1,21,1.8095238095238098,1.1764705882352942,1.7999986490834783,2.5454545454545454
crabs,extremely_close,3,2,21,3.9523809523809526,3.25,3.972596470326474,4.75
crabs,extremely_close,3,3,21,3.857142857142857,2.952321428571429,3.827456640070138,4.7368421052631575
dip,not_close,0,0,25,1.24,1,1.2432061837133792,1.5457070707070704
dip,not_close,0,1,25,3.32,2.7037037037037037,3.315739665254487,4
dip,not_close,0,2,25,3.84,3.184903381642512,3.8363164730619532,4.5
dip,not_close,0,3,25,5.68,5.136287878787879,5.687086928900382,6.22736013986014
dip,somewhat_close,1,0,22,1.3636363636363638,1.0416666666666667,1.3702453937871122,1.8571428571428572
dip,somewhat_close,1,1,22,2.3181818181818183,1.7221666666666666,2.3199913822318985,3
dip,somewhat_close,1,2,22,3.090909090909091,2.3333333333333335,3.093303899403393,3.9232142857142853
dip,somewhat_close,1,3,22,5.318181818181818,4.478209109730849,5.320202501667952,6.055637254901961
dip,close,2,0,19,1.4210526315789473,1,1.419109482649005,1.9500595238095237
dip,close,2,1,19,2.1578947368421053,1.5333333333333334,2.1457757378198123,2.772974308300395
dip,close,2,2,19,3.0526315789473686,2.375,3.058978505149247,3.778333333333333
dip,close,2,3,19,4.842105263157895,4.1537500000000005,4.855314705652222,5.6002777777777775
