subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,2,0.02,0.5,1,10,0.2289293,0.24908495,0.1759544,0.20523703,0.24714832,0.12232567
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,3,0.01,0.5,1,10,0.114882775,0.15163323,0.0836284,0.09009496,0.11733003,0.090202995
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,0,0.43,0.5,1,11,0.19999585,0.19011483,0.3702086,0.18185948,0.1787442,0.35265216
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,1,0.53,0.5,1,11,0.4561921,0.40916693,0.3702086,0.37590894,0.33971512,0.35265216
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,2,0.02,0.5,1,11,0.2289293,0.24908495,0.1759544,0.36062983,0.37229407,0.21489681
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,3,0.02,0.5,1,11,0.114882775,0.15163323,0.0836284,0.081601724,0.1092466,0.079798885
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,0,0.76,0.0,0,12,0.6455648,0.54962945,0.439189,0.7479432,0.6285082,0.49143535
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,1,0.22,0.0,0,12,0.2694817,0.2275344,0.439189,0.19888583,0.1794143,0.43205208
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,2,0.01,0.0,0,12,0.067863524,0.13851412,0.099210754,0.039729707,0.12676428,0.051349334
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,3,0.01,0.0,0,12,0.01709006,0.084322006,0.022411248,0.013441258,0.06531311,0.025163263
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,0,0.39,0.75,1,13,0.13002345,0.19011483,0.3159864,0.22026421,0.29658917,0.3249322
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,1,0.55,0.75,1,13,0.3936147,0.40916693,0.3159864,0.33878204,0.34905407,0.3249322
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,2,0.03,0.75,1,13,0.27883554,0.24908495,0.21784379,0.18965581,0.16023056,0.19556822
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,3,0.03,0.75,1,13,0.19752628,0.15163323,0.15018342,0.25129792,0.19412616,0.15456739
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,0,0.19,1.0,0,14,0.44398928,0.54962945,0.25,0.39440802,0.506776,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,1,0.53,1.0,0,14,0.1853369,0.2275344,0.25,0.22400208,0.26862994,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,2,0.27,1.0,0,14,0.1853369,0.13851412,0.25,0.26244983,0.16704968,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,3,0.01,1.0,0,14,0.1853369,0.084322006,0.25,0.119140096,0.05754445,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,0,0.37,0.75,1,15,0.13002345,0.19011483,0.3159864,0.10344127,0.15073934,0.29518437
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,1,0.33,0.75,1,15,0.3936147,0.40916693,0.3159864,0.34635842,0.35314143,0.29518437
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,2,0.27,0.75,1,15,0.27883554,0.24908495,0.21784379,0.3457444,0.33848298,0.2656936
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,3,0.03,0.75,1,15,0.19752628,0.15163323,0.15018342,0.20445593,0.15763623,0.14393763
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,0,0.77,0.0,0,0,0.6455648,0.54962945,0.439189,0.76758194,0.56759655,0.6408491
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,1,0.11,0.0,0,0,0.2694817,0.2275344,0.439189,0.15405482,0.20422892,0.23797022
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,2,0.11,0.0,0,0,0.067863524,0.13851412,0.099210754,0.056575283,0.1348213,0.08836687
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,3,0.01,0.0,0,0,0.01709006,0.084322006,0.022411248,0.021787953,0.09335324,0.032813787
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,0,0.55,0.75,0,1,0.52012193,0.54962945,0.3159864,0.5967847,0.6263912,0.3357234
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,1,0.08,0.75,0,1,0.2171174,0.2275344,0.3159864,0.21556045,0.22523564,0.3357234
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,2,0.25,0.75,0,1,0.15380535,0.13851412,0.21784379,0.1004674,0.080252655,0.16885245
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,3,0.12,0.75,0,1,0.108955264,0.084322006,0.15018342,0.087187454,0.06812047,0.15970068
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,0,0.64,0.0,1,2,0.3699196,0.19011483,0.439189,0.37177452,0.19127162,0.42618304
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,1,0.32,0.0,1,2,0.47905827,0.40916693,0.439189,0.43288296,0.36767924,0.42618304
