subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,2,0.04,1.0,1,2,0.26986754,0.25,0.27637312
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,3,0.92,1.0,1,2,0.26669073,0.25,0.23980305
367dcae5-5607-5a12-a236-2b4a06b8efef,chapstick,0,high,0,0.78,0.0,1,3,0.39266628,0.4749325,0.19490984
367dcae5-5607-5a12-a236-2b4a06b8efef,chapstick,0,high,1,0.13,0.0,1,3,0.31397855,0.27258822,0.2532055
367dcae5-5607-5a12-a236-2b4a06b8efef,chapstick,0,high,2,0.09,0.0,1,3,0.17164889,0.14800276,0.27002698
367dcae5-5607-5a12-a236-2b4a06b8efef,chapstick,0,high,3,0.0,0.0,1,3,0.12170628,0.104476556,0.28185767
367dcae5-5607-5a12-a236-2b4a06b8efef,gossip,0,low,0,0.71,0.0,0,4,0.51066273,0.42608845,0.33516267
367dcae5-5607-5a12-a236-2b4a06b8efef,gossip,0,low,1,0.11,0.0,0,4,0.2617736,0.30691418,0.22685492
367dcae5-5607-5a12-a236-2b4a06b8efef,gossip,0,low,2,0.08,0.0,0,4,0.13925558,0.16330953,0.22204287
367dcae5-5607-5a12-a236-2b4a06b8efef,gossip,0,low,3,0.1,0.0,0,4,0.0883081,0.103687786,0.2159395
367dcae5-5607-5a12-a236-2b4a06b8efef,hairbrush,50,high,0,0.26,0.5,1,5,0.25125858,0.31777325,0.20600653
367dcae5-5607-5a12-a236-2b4a06b8efef,hairbrush,50,high,1,0.31,0.5,1,5,0.32497454,0.29834363,0.23734319
367dcae5-5607-5a12-a236-2b4a06b8efef,hairbrush,50,high,2,0.24,0.5,1,5,0.25492626,0.23180063,0.26431376
367dcae5-5607-5a12-a236-2b4a06b8efef,hairbrush,50,high,3,0.19,0.5,1,5,0.16884065,0.15208241,0.29233652
367dcae5-5607-5a12-a236-2b4a06b8efef,harmonica,50,high,0,0.93,0.5,1,6,0.2612907,0.32972077,0.20379752
367dcae5-5607-5a12-a236-2b4a06b8efef,harmonica,50,high,1,0.07,0.5,1,6,0.302618,0.27632794,0.24299248
367dcae5-5607-5a12-a236-2b4a06b8efef,harmonica,50,high,2,0.0,0.5,1,6,0.26404712,0.23930486,0.26475137
367dcae5-5607-5a12-a236-2b4a06b8efef,harmonica,50,high,3,0.0,0.5,1,6,0.17204422,0.15464638,0.28845868
367dcae5-5607-5a12-a236-2b4a06b8efef,hat,50,low,0,0.73,0.5,0,7,0.37979922,0.30156034,0.34953406
367dcae5-5607-5a12-a236-2b4a06b8efef,hat,50,low,1,0.23,0.5,0,7,0.2334744,0.26247805,0.21713842
367dcae5-5607-5a12-a236-2b4a06b8efef,hat,50,low,2,0.02,0.5,0,7,0.25609413,0.29035807,0.19674534
367dcae5-5607-5a12-a236-2b4a06b8efef,hat,50,low,3,0.02,0.5,0,7,0.1306323,0.14560355,0.2365822
