experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e
desire_noalt,access_full_padded,15,wedding,8.720905303955078,171.83041381835938,10.143136731076375,300,20,0.11816044896841049,0.23053084313869476,3.544957160949707
desire_noalt,access_only_padded,0,apples,0.9900081157684326,207.94424438476562,13.862943611198906,300,20,,0.9901592135429382,
desire_noalt,access_only_padded,1,basketball,0.9900056719779968,207.94424438476562,13.862943611198908,300,20,,0.9901830554008484,
desire_noalt,access_only_padded,2,birthday,0.9900085926055908,207.94424438476562,13.862943611198906,300,20,,0.9900691509246826,
desire_noalt,access_only_padded,3,brunch,0.9900049567222595,207.94424438476562,13.862943611198906,300,20,,1.009896159172058,
desire_noalt,access_only_padded,4,cooking,0.9900064468383789,207.94424438476562,13.862943611198908,300,20,,0.9900599122047424,
desire_noalt,access_only_padded,5,dip,0.9900076985359192,207.94424438476562,13.862943611198906,300,20,,1.0099475383758545,
desire_noalt,access_only_padded,6,drinks,0.9900054335594177,207.94424438476562,13.862943611198906,300,20,,1.0099620819091797,
desire_noalt,access_only_padded,7,driving,0.9900059103965759,207.94424438476562,13.862943611198906,300,20,,1.0099570751190186,
desire_noalt,access_only_padded,8,fair,0.9900064468383789,207.94424438476562,13.862943611198906,300,20,,1.0098217725753784,
desire_noalt,access_only_padded,9,gala,0.9900059700012207,207.94424438476562,13.862943611198906,300,20,,1.009796142578125,
desire_noalt,access_only_padded,10,hike,0.9900087714195251,207.94424438476562,13.862943611198906,300,20,,1.0099416971206665,
desire_noalt,access_only_padded,11,oysters,0.9900055527687073,207.94424438476562,13.862943611198906,300,20,,0.9901062846183777,
desire_noalt,access_only_padded,12,social,0.9900105595588684,207.94424438476562,13.862943611198906,300,20,,0.9900534749031067,
desire_noalt,access_only_padded,13,soup,0.9900091886520386,207.94424438476562,13.862943611198906,300,20,,0.9902482032775879,
desire_noalt,access_only_padded,14,takeout,0.9900060296058655,207.94424438476562,13.862943611198906,300,20,,0.9916089773178101,
desire_noalt,access_only_padded,15,wedding,0.9900060296058655,207.94424438476562,13.862943611198908,300,20,,0.9900945425033569,
desire_noalt,no_access_padded,0,apples,7.834277629852295,170.5899200439453,11.433230497528148,300,20,0.13705097138881683,,3.6044769287109375
desire_noalt,no_access_padded,1,basketball,6.483646392822266,170.54718017578125,11.569690056293197,300,20,0.16293008625507355,,3.351667642593384
desire_noalt,no_access_padded,2,birthday,9.385645866394043,170.3412628173828,11.67813476817823,300,20,0.11127469688653946,,3.662959575653076
desire_noalt,no_access_padded,3,brunch,8.276264190673828,169.75360107421875,12.260383563615868,300,20,0.1272599697113037,,3.7402446269989014
desire_noalt,no_access_padded,4,cooking,8.19198989868164,172.2259063720703,9.801021053575367,300,20,0.13238996267318726,,3.558725595474243
desire_noalt,no_access_padded,5,dip,3.1853713989257812,171.2720947265625,11.234502194928245,300,20,0.34575626254081726,,5.0611348152160645
desire_noalt,no_access_padded,6,drinks,7.328967094421387,170.6954803466797,11.386447518725072,300,20,0.14839662611484528,,4.161839485168457
desire_noalt,no_access_padded,7,driving,8.649978637695312,168.5225372314453,13.509990144227995,300,20,0.1271626204252243,,3.6258628368377686
desire_noalt,no_access_padded,8,fair,7.497061729431152,167.01380920410156,15.129159073972415,300,20,0.1520528644323349,,3.500979423522949
desire_noalt,no_access_padded,9,gala,8.983414649963379,176.00462341308594,6.047787923898264,300,20,0.11339475214481354,,3.9762485027313232
desire_noalt,no_access_padded,10,hike,9.193764686584473,168.49822998046875,13.60265304411449,300,20,0.11742230504751205,,4.301821708679199
desire_noalt,no_access_padded,11,oysters,8.463618278503418,172.02386474609375,10.003788590693986,300,20,0.12233146280050278,,3.84013295173645
desire_noalt,no_access_padded,12,social,8.655908584594727,171.72506713867188,10.309125015471373,300,20,0.11896546185016632,,3.956157684326172
desire_noalt,no_access_padded,13,soup,8.860548973083496,168.01663208007812,14.026713090855502,300,20,0.12247825413942337,,3.4086015224456787
desire_noalt,no_access_padded,14,takeout,8.558392524719238,170.12222290039062,11.899025441593038,300,20,0.121526338160038,,3.811983585357666
