subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,1,0.53,0.5,1,11,0.2786683,0.21296285,0.29656637,0.26746076,0.20218249,0.27883115
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,2,0.02,0.5,1,11,0.3475122,0.26526833,0.29656646,0.36248887,0.27372566,0.36659402
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,3,0.02,0.5,1,11,0.14369467,0.11019434,0.29656643,0.12716268,0.0963942,0.1930185
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,0,0.76,0.0,0,12,0.84023356,0.68934953,0.47263965,0.83660847,0.68523705,0.5489086
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,1,0.22,0.0,0,12,0.095133744,0.18456542,0.17578675,0.09360396,0.18002754,0.1523158
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,2,0.01,0.0,0,12,0.039337374,0.07666979,0.17578681,0.04501888,0.08685072,0.1873037
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,3,0.01,0.0,0,12,0.025295343,0.049415264,0.17578676,0.024768725,0.04788463,0.11147185
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,0,0.39,0.75,1,13,0.18631,0.34912792,0.110300735,0.2092195,0.38145432,0.17153488
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,1,0.55,0.75,1,13,0.32476255,0.25954908,0.29656637,0.29465988,0.23036839,0.2339293
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,2,0.03,0.75,1,13,0.26331636,0.21067213,0.2965664,0.28899515,0.22601882,0.3721486
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,3,0.03,0.75,1,13,0.22561105,0.18065085,0.29656655,0.20712554,0.16215841,0.22238718
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,0,0.19,1.0,0,14,0.4390842,0.25,0.47263965,0.48059022,0.28364506,0.54691464
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,1,0.53,1.0,0,14,0.1869719,0.25,0.17578676,0.20784298,0.28654313,0.22033499
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,2,0.27,1.0,0,14,0.18697198,0.25,0.17578684,0.19539285,0.26941946,0.18662332
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,3,0.01,1.0,0,14,0.18697184,0.25,0.1757867,0.116173975,0.1603923,0.046127062
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,0,0.37,0.75,1,15,0.17909454,0.33828434,0.11030071,0.18676558,0.34876528,0.14117938
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,1,0.33,0.75,1,15,0.30201596,0.24333782,0.2965664,0.29985064,0.24004018,0.29706538
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,2,0.27,0.75,1,15,0.302016,0.24333782,0.29656643,0.3087912,0.24717952,0.32148007
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,3,0.03,0.75,1,15,0.2168735,0.17504,0.29656646,0.20459256,0.1640151,0.24027517
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,0,0.77,0.0,0,0,0.8430366,0.6938233,0.47263965,0.82894564,0.67328304,0.50183696
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,1,0.11,0.0,0,0,0.09545113,0.18576322,0.17578678,0.10122991,0.19302489,0.17619386
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,2,0.11,0.0,0,0,0.03613256,0.07067746,0.17578678,0.043615934,0.08345574,0.20036851
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,3,0.01,0.0,0,0,0.025379729,0.049735963,0.17578678,0.026208475,0.05023626,0.12160065
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,0,0.55,0.75,0,1,0.5362014,0.3295035,0.4726397,0.55573374,0.34842315,0.54868615
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,1,0.08,0.75,0,1,0.2283265,0.3295035,0.17578672,0.23427351,0.34311926,0.20636575
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,2,0.25,0.75,0,1,0.117736086,0.1704965,0.17578684,0.1098484,0.16133851,0.13762178
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,3,0.12,0.75,0,1,0.117736086,0.1704965,0.17578684,0.10014434,0.14711916,0.10732638
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,0,0.64,0.0,1,2,0.2416134,0.42745593,0.11030073,0.21270838,0.38664153,0.096076034
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,1,0.32,0.0,1,2,0.56740344,0.42745593,0.29656634,0.58309805,0.45355532,0.3768441
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,2,0.04,0.0,1,2,0.15086833,0.11444642,0.29656643,0.16291389,0.12736101,0.31918624
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,3,0.0,0.0,1,2,0.040114745,0.03064171,0.29656646,0.04127969,0.03244208,0.20789362
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,0,0.0,1.0,1,3,0.124297924,0.25,0.11030069,0.13373965,0.26501662,0.13765493
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,1,0.05,1.0,1,3,0.2919006,0.25,0.29656637,0.25994402,0.2206093,0.21422952
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,2,0.49,1.0,1,3,0.29190066,0.25,0.29656643,0.30742747,0.2608001,0.336321
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,3,0.46,1.0,1,3,0.29190075,0.25,0.29656652,0.29888886,0.253574,0.31179452
