fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
7,hat,access_only,344.0477600097656,24.545568466186523,0.3373017254997702,0.36096424214980183,1020,68,1.0,,0.9612905383110046,,2.2349157333374023,0.2589921092321037
7,hat,no_access,355.3276062011719,24.47437286376953,0.348360398236443,0.35991724799661073,1020,68,1.0,0.20334067940711975,,0.48632046580314636,,0.2618715334786675
8,home,access_full,341.9653625488281,21.727054595947266,0.3352601593615962,0.31951550876393037,1020,68,1.0,0.34963253140449524,1.0762262344360352,0.38393887877464294,2.053175687789917,0.7551428335673944
8,home,access_only,346.18994140625,22.40899658203125,0.3394019033394608,0.3295440673828125,1020,68,1.0,,0.9291428327560425,,2.261125326156616,0.5901837516181875
8,home,no_access,356.7064208984375,23.149028778076172,0.3497121773514093,0.34042689379523783,1020,68,1.0,0.18276922404766083,,0.5303158760070801,,0.4108823887600732
9,locker-room,access_full,339.88238525390625,23.843591690063477,0.33321802475873163,0.35064105426563935,1020,68,1.0,0.3808905780315399,1.1161786317825317,0.42904019355773926,2.0418741703033447,0.2010795404037785
9,locker-room,access_only,345.2310485839844,23.367431640625,0.3384618123372396,0.34363870059742646,1020,68,1.0,,0.9671549797058105,,2.190031051635742,0.4146380545059918
9,locker-room,no_access,355.3538513183594,24.54039764404297,0.34838612874348956,0.3608882006476907,1020,68,1.0,0.24028824269771576,,0.6050011515617371,,-0.2711100880794675
10,navigation,access_full,339.5835876464844,24.203994750976562,0.33292508592792586,0.3559410992790671,1020,68,1.0,0.3398822844028473,1.1682995557785034,0.3759698271751404,1.9895505905151367,0.25545034396404454
10,navigation,access_only,343.8437194824219,24.840166091918945,0.3371016857670803,0.3652965601752786,1020,68,1.0,,1.0260976552963257,,2.1124980449676514,0.0740225902780964
10,navigation,no_access,356.3092041015625,23.51645851135254,0.34932274911917893,0.3458302722257726,1020,68,1.0,0.18413273990154266,,0.45548292994499207,,0.48673906061947864
11,payment,access_full,341.8812255859375,21.865814208984375,0.335177672143076,0.32155609130859375,1020,68,1.0,0.3649599552154541,1.0324400663375854,0.38181835412979126,2.000398874282837,0.7267085267007336
11,payment,access_only,346.9023742675781,21.724315643310547,0.34010036692899814,0.3194752300486845,1020,68,1.0,,0.903626024723053,,2.107477903366089,0.7392122608526128
11,payment,no_access,355.8022766113281,24.063560485839844,0.348825761383655,0.35387588949764476,1020,68,1.0,0.24480511248111725,,0.49580812454223633,,-0.18354533882514834
12,sauna,access_full,341.3176574707031,22.424903869628906,0.3346251543830423,0.329777998082778,1020,68,1.0,0.33358651399612427,1.0870139598846436,0.33664068579673767,1.8504817485809326,0.560607705930013
12,sauna,access_only,345.15838623046875,23.460634231567383,0.3383905747357537,0.34500932693481445,1020,68,1.0,,0.9525293707847595,,2.0428459644317627,0.33895071530077553
12,sauna,no_access,356.801513671875,23.044187545776367,0.34980540556066175,0.3388851109672995,1020,68,1.0,0.17509731650352478,,0.45394638180732727,,0.5064926584983921
13,sleeping-bag,access_full,340.82098388671875,22.888368606567383,0.3341382194967831,0.3365936559789321,1020,68,1.0,0.3646177649497986,1.1053766012191772,0.431171178817749,2.015021562576294,0.7578306943512123
13,sleeping-bag,access_only,345.65570068359375,22.936134338378906,0.3388781379250919,0.3372960932114545,1020,68,1.0,,0.9583744406700134,,2.2975378036499023,0.7081986155008244
13,sleeping-bag,no_access,356.2952880859375,23.506027221679688,0.3493091059666054,0.34567687090705423,1020,68,1.0,0.2074112594127655,,0.4876044988632202,,0.3692726275284604
14,sunscreen,access_full,340.9870910644531,22.723289489746094,0.33430106967103246,0.3341660219080308,1020,68,1.0,0.3476218581199646,1.066892385482788,0.41777825355529785,1.9529590606689453,0.666464144195453
14,sunscreen,access_only,345.5203857421875,23.09065055847168,0.3387454762178309,0.33956839056576,1020,68,1.0,,0.9340062141418457,,2.0774714946746826,0.6076916298995181
14,sunscreen,no_access,355.9869384765625,23.817590713500977,0.34900680242800247,0.35025868696324963,1020,68,1.0,0.20082592964172363,,0.4994029998779297,,0.24996502229998413
15,towel,access_full,339.8749694824219,23.844039916992188,0.33321075439453124,0.3506476458381204,1020,68,1.0,0.3604925870895386,1.1358305215835571,0.4169239401817322,2.120432138442993,0.4694363704108834
15,towel,access_only,344.82611083984375,23.782859802246094,0.33806481454886644,0.3497479382683249,1020,68,1.0,,0.9924670457839966,,2.360177993774414,0.4368681483639875
15,towel,no_access,355.59271240234375,24.214462280273438,0.3486203062768076,0.3560950335334329,1020,68,1.0,0.2156490534543991,,0.4785131514072418,,0.18569953156640095
