fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
4,cooking,full,151.9110870361328,9.53980827331543,0.2813168278446904,0.26499467425876194,540,36,1.0,0.9401496648788452,1.384280800819397,1.232905387878418,0.9035433530807495,0.8560997414135842
4,cooking,discomfort_only,159.63711547851562,9.921524047851562,0.2956242879231771,0.27559789021809894,540,36,1.0,,1.1104226112365723,,1.2109766006469727,0.8260725091423082
4,cooking,base,187.13009643554688,12.522987365722656,0.3465372156213831,0.34786076015896267,540,36,1.0,0.7994241714477539,,0.049611978232860565,,-0.3908915117033759
5,dip,full,149.34515380859375,12.179759979248047,0.276565099645544,0.33832666609022355,540,36,1.0,0.9312479496002197,1.4599823951721191,1.4122073650360107,0.8556997179985046,0.7308549606621221
5,dip,discomfort_only,158.43653869628906,11.102235794067383,0.29340099758572047,0.308395438724094,540,36,1.0,,1.1421241760253906,,1.2220185995101929,0.9128913118006017
5,dip,base,187.14166259765625,12.498456954956055,0.34655863444010415,0.3471793598598904,540,36,1.0,0.7892827391624451,,0.03466472402215004,,-0.46383014817799845
6,drinks,full,146.81219482421875,14.792945861816406,0.27187443485966434,0.4109151628282335,540,36,1.0,0.7469592094421387,1.5460461378097534,1.269482970237732,0.9144001603126526,0.09508353693408497
6,drinks,discomfort_only,154.0381622314453,15.74569320678711,0.285255855984158,0.4373803668551975,540,36,1.0,,1.2716399431228638,,1.1857808828353882,-0.1616762258868058
6,drinks,base,187.1497344970703,12.476646423339844,0.34657358240198205,0.3465735117594401,540,36,1.0,0.9980082511901855,,9.999999974752427e-07,,0.41448378566072014
7,driving,full,151.13427734375,10.301191329956055,0.2798782913773148,0.2861442036098904,540,36,1.0,0.8688621520996094,1.401127815246582,1.2214562892913818,0.839322566986084,0.8872926824051599
7,driving,discomfort_only,158.3094024658203,11.222126007080078,0.2931655601218895,0.31172572241889107,540,36,1.0,,1.1329035758972168,,1.135777473449707,0.7717715465934412
7,driving,base,187.1497344970703,12.476648330688477,0.34657358240198205,0.3465735647413466,540,36,1.0,0.9992344975471497,,9.999999974752427e-07,,0.6015392243358029
8,fair,full,151.04417419433594,10.380229949951172,0.2797114336932147,0.288339720831977,540,36,1.0,1.1395504474639893,1.402554988861084,1.2684541940689087,0.8358282446861267,0.7379178961472687
8,fair,discomfort_only,159.06298828125,10.476095199584961,0.2945610894097222,0.29100264443291557,540,36,1.0,,1.12662672996521,,1.1172583103179932,0.7030474641152908
8,fair,base,187.14527893066406,12.489664077758789,0.3465653313530816,0.34693511327107746,540,36,1.0,1.106439471244812,,0.02667435072362423,,-0.2244848893350037
9,gala,full,151.6917266845703,9.923924446105957,0.2809106049714265,0.2756645679473877,540,36,1.0,1.0132728815078735,1.4255520105361938,1.0691944360733032,0.9215363264083862,0.5200471511553312
9,gala,discomfort_only,157.1789093017578,12.413873672485352,0.2910720542625145,0.3448298242357042,540,36,1.0,,1.2049963474273682,,1.1759202480316162,0.22484111408208576
9,gala,base,187.1497344970703,12.476646423339844,0.34657358240198205,0.3465735117594401,540,36,1.0,1.071483850479126,,9.999999974752427e-07,,0.4432358327420546
10,hike,full,151.4111785888672,10.022270202636719,0.28039107146086517,0.2783963945176866,540,36,1.0,0.9930000305175781,1.377861738204956,1.2120214700698853,0.8792632818222046,0.8011402339721181
10,hike,discomfort_only,158.65087890625,10.877582550048828,0.29379792390046294,0.3021550708346897,540,36,1.0,,1.1370183229446411,,1.1921501159667969,0.54031552289197
10,hike,base,187.1498260498047,12.476678848266602,0.34657375194408274,0.34657441245185006,540,36,1.0,0.963114321231842,,0.0016619639936834574,,0.0810325888908754
11,oysters,full,152.94287109375,8.557601928710938,0.2832275390625,0.23771116468641493,540,36,1.0,1.012757658958435,1.3652675151824951,1.3146034479141235,0.8466972708702087,0.7375440332286811
11,oysters,discomfort_only,161.3490753173828,8.224288940429688,0.29879458392107927,0.22845247056749132,540,36,1.0,,1.0849120616912842,,1.1692562103271484,0.7759929126044983
11,oysters,base,187.02621459960938,12.753644943237305,0.34634484185112846,0.3542679150899251,540,36,1.0,0.7867623567581177,,0.12379761785268784,,-0.45303015740280056
12,social,full,152.8079833984375,8.653009414672852,0.2829777470341435,0.24036137262980142,540,36,1.0,1.0451457500457764,1.4543101787567139,1.3589826822280884,0.858758270740509,0.7187529439498159
12,social,discomfort_only,161.2647247314453,8.283514976501465,0.2986383791323061,0.2300976382361518,540,36,1.0,,1.1114553213119507,,1.1962943077087402,0.846666690572083
12,social,base,187.14974975585938,12.47664737701416,0.34657361065899883,0.34657353825039333,540,36,1.0,2.0939347743988037,,9.999999974752427e-07,,-0.05930726654410348
13,soup,full,150.83387756347656,10.60468864440918,0.2793219954879196,0.29457468456692165,540,36,1.0,1.0106003284454346,1.437992811203003,1.2070488929748535,0.8842774629592896,0.8106711023692694
13,soup,discomfort_only,158.1571807861328,11.402706146240234,0.2928836681224682,0.31674183739556205,540,36,1.0,,1.1855440139770508,,1.1730600595474243,0.6101311385589427
13,soup,base,187.1467742919922,12.485879898071289,0.3465681005407263,0.34682999716864693,540,36,1.0,1.1779074668884277,,0.022396253421902657,,0.05214190245929509
14,takeout,full,152.64939880371094,8.788787841796875,0.28268407185872396,0.24413299560546875,540,36,1.0,1.0745152235031128,1.3688726425170898,1.2045183181762695,0.8616949915885925,0.9351940942870549
