fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,test_cell_r
4,gossip,no_access,356.66912841796875,23.139169692993164,0.3496756160960478,0.3402819072498995,1020,68,1.0,0.19949863851070404,,0.4599619209766388,0.5395963504431849
5,hairbrush,access_full,342.53240966796875,22.691783905029297,0.3358160879097733,0.333702704485725,1020,68,1.0,0.3391099274158478,0.9034485816955566,0.30598634481430054,0.5056477631270196
5,hairbrush,access_only,347.0198974609375,23.13657569885254,0.3402155857460172,0.34024376027724323,1020,68,1.0,,0.7614688873291016,,0.36861384404337816
5,hairbrush,no_access,356.4220886230469,23.381256103515625,0.3494334202186734,0.3438420015222886,1020,68,1.0,0.2031964510679245,,0.5014837980270386,0.18920795898016496
6,harmonica,access_full,342.87701416015625,22.397287368774414,0.3361539354511336,0.329371873070212,1020,68,1.0,0.37662509083747864,0.8684507608413696,0.34699973464012146,0.3928037131940864
6,harmonica,access_only,348.2751770019531,21.920488357543945,0.3414462519626991,0.322360122905058,1020,68,1.0,,0.7197234630584717,,0.593862711138513
6,harmonica,no_access,355.49652099609375,24.389122009277344,0.3485260009765625,0.35866355895996094,1020,68,1.0,0.25140580534935,,0.507290244102478,-0.3841611710015416
7,hat,access_full,340.9490051269531,24.303001403808594,0.3342637305166207,0.35739707946777344,1020,68,1.0,0.3468104600906372,0.9259982705116272,0.2841092348098755,0.29499887550998993
7,hat,access_only,345.5625305175781,24.5948486328125,0.3387867946250766,0.36168895048253674,1020,68,1.0,,0.7745737433433533,,0.2165505638101518
7,hat,no_access,355.3276062011719,24.47437286376953,0.348360398236443,0.35991724799661073,1020,68,1.0,0.20334067940711975,,0.48632046580314636,0.2618715334786675
8,home,access_full,343.48394775390625,21.71099281311035,0.3367489683861826,0.3192793060751522,1020,68,1.0,0.35194826126098633,0.888196587562561,0.3728533089160919,0.7569951025163473
8,home,access_only,347.7857360839844,22.386781692504883,0.3409664079254749,0.32921737783095417,1020,68,1.0,,0.7361905574798584,,0.6257945055407388
8,home,no_access,356.7064208984375,23.149028778076172,0.3497121773514093,0.34042689379523783,1020,68,1.0,0.18276922404766083,,0.5303158760070801,0.4108823887600732
9,locker-room,access_full,341.50469970703125,23.714595794677734,0.33480852912454045,0.34874405580408435,1020,68,1.0,0.378865510225296,0.9154136776924133,0.4209927022457123,0.20696748674006316
9,locker-room,access_only,346.8384704589844,23.31776237487793,0.3400377161362592,0.3429082702187931,1020,68,1.0,,0.7687473893165588,,0.4225889439617724
9,locker-room,no_access,355.3538513183594,24.54039764404297,0.34838612874348956,0.3608882006476907,1020,68,1.0,0.24028824269771576,,0.6050011515617371,-0.2711100880794675
10,navigation,access_full,341.0650939941406,24.221458435058594,0.3343775431315104,0.35619791816262636,1020,68,1.0,0.3392077386379242,0.964120626449585,0.38261935114860535,0.21362593168447416
10,navigation,access_only,345.30950927734375,24.90888786315918,0.3385387345856311,0.36630717445822325,1020,68,1.0,,0.8249037861824036,,0.01566778736946721
10,navigation,no_access,356.3092041015625,23.51645851135254,0.34932274911917893,0.3458302722257726,1020,68,1.0,0.18413273990154266,,0.45548292994499207,0.48673906061947864
11,payment,access_full,343.18096923828125,22.06960678100586,0.33645193062576595,0.324553040897145,1020,68,1.0,0.36499935388565063,0.852117657661438,0.37873807549476624,0.7245915722278298
11,payment,access_only,348.2397766113281,21.948331832885742,0.3414115456973805,0.3227695857777315,1020,68,1.0,,0.724355936050415,,0.6971709659120284
11,payment,no_access,355.8022766113281,24.063560485839844,0.348825761383655,0.35387588949764476,1020,68,1.0,0.24480511248111725,,0.49580812454223633,-0.18354533882514834
12,sauna,access_full,342.4192199707031,22.804885864257812,0.3357051176183364,0.33536596859202666,1020,68,1.0,0.3375532031059265,0.9292394518852234,0.33021703362464905,0.5011097132508731
12,sauna,access_only,346.3727111816406,23.78831672668457,0.3395810893937653,0.34982818715712605,1020,68,1.0,,0.7825964093208313,,0.25231906733302534
