subject_id,scenario_label,intimacy,effort,action,p_action,intimacy_scaled,effort_condition,action_idx,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
2d603083-5409-5572-9c66-9fd9132da339,hike,50,low,1,1.0,0.5,0,0,10,0.6391581,0.6282937,0.49999997,0.68245006,0.66001135,0.6371024
2d603083-5409-5572-9c66-9fd9132da339,hike,50,low,2,0.0,0.5,0,1,10,0.3608419,0.37170628,0.50000006,0.3175499,0.33998868,0.3628976
2d603083-5409-5572-9c66-9fd9132da339,oysters,0,high,1,1.0,0.0,1,0,11,0.86997277,0.8726558,0.4999998,0.8720743,0.870465,0.615934
2d603083-5409-5572-9c66-9fd9132da339,oysters,0,high,2,0.0,0.0,1,1,11,0.1300272,0.12734424,0.5000002,0.1279257,0.12953505,0.38406602
2d603083-5409-5572-9c66-9fd9132da339,social,0,high,1,1.0,0.0,1,0,12,0.9010836,0.87837577,0.49999985,0.8822519,0.8559736,0.4894034
2d603083-5409-5572-9c66-9fd9132da339,social,0,high,2,0.0,0.0,1,1,12,0.09891645,0.12162429,0.5000001,0.11774812,0.14402638,0.5105966
2d603083-5409-5572-9c66-9fd9132da339,soup,75,high,1,0.21,0.75,1,0,13,0.4751804,0.60826963,0.49999985,0.42787126,0.5750923,0.42722067
2d603083-5409-5572-9c66-9fd9132da339,soup,75,high,2,0.79,0.75,1,1,13,0.5248196,0.39173037,0.5000002,0.5721287,0.4249077,0.5727794
2d603083-5409-5572-9c66-9fd9132da339,takeout,75,low,1,1.0,0.75,0,0,14,0.6269911,0.6282937,0.49999997,0.6704794,0.6600113,0.6371024
2d603083-5409-5572-9c66-9fd9132da339,takeout,75,low,2,0.0,0.75,0,1,14,0.37300885,0.37170628,0.50000006,0.32952052,0.33998865,0.3628976
2d603083-5409-5572-9c66-9fd9132da339,wedding,50,high,1,0.0,0.5,1,0,15,0.65803194,0.7204262,0.49999985,0.6728637,0.7292788,0.5975681
2d603083-5409-5572-9c66-9fd9132da339,wedding,50,high,2,1.0,0.5,1,1,15,0.3419681,0.2795738,0.5000002,0.3271363,0.27072126,0.40243188
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,apples,100,low,1,0.5,1.0,0,0,0,0.5366017,0.5,0.50000006,0.574452,0.5283723,0.5849029
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,apples,100,low,2,0.5,1.0,0,1,0,0.46339822,0.5,0.49999997,0.425548,0.47162777,0.41509712
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,basketball,0,low,1,1.0,0.0,0,0,1,0.92023104,0.8726558,0.4999999,0.9243505,0.8717395,0.62400687
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,basketball,0,low,2,0.0,0.0,0,1,1,0.07976899,0.12734424,0.50000006,0.07564955,0.12826048,0.37599316
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,birthday,0,high,1,1.0,0.0,1,0,2,0.8741865,0.8575601,0.49999985,0.8815615,0.8594794,0.63259155
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,birthday,0,high,2,0.0,0.0,1,1,2,0.12581354,0.14243989,0.5000001,0.118438534,0.14052056,0.3674085
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,brunch,50,high,1,1.0,0.5,1,0,3,0.6256602,0.66815937,0.4999999,0.6637564,0.6947261,0.6371023
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,brunch,50,high,2,0.0,0.5,1,1,3,0.37433985,0.33184063,0.5000001,0.33624363,0.3052739,0.36289766
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,cooking,0,high,1,0.95,0.0,1,0,4,0.920275,0.8908658,0.49999985,0.92437613,0.8903202,0.63710225
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,cooking,0,high,2,0.05,0.0,1,1,4,0.07972504,0.10913422,0.5000001,0.07562385,0.109679796,0.36289772
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,dip,100,high,1,1.0,1.0,1,0,5,0.27611265,0.5,0.49999982,0.31746927,0.546479,0.63710225
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,dip,100,high,2,0.0,1.0,1,1,5,0.7238874,0.5,0.5000002,0.6825307,0.45352098,0.36289775
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,drinks,75,high,1,0.9,0.75,1,0,6,0.38302004,0.6149196,0.4999998,0.40105945,0.6342407,0.59338844
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,drinks,75,high,2,0.1,0.75,1,1,6,0.61697996,0.38508043,0.50000024,0.59894055,0.36575934,0.40661153
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,driving,100,high,1,0.82,1.0,1,0,7,0.3365137,0.5,0.49999985,0.36267254,0.5280347,0.58390987
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,driving,100,high,2,0.18,1.0,1,1,7,0.6634863,0.5,0.5000001,0.63732743,0.47196528,0.41609022
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,fair,0,low,1,1.0,0.0,0,0,8,0.88354474,0.8726558,0.49999985,0.8703162,0.85710037,0.5322634
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,fair,0,low,2,0.0,0.0,0,1,8,0.11645525,0.12734424,0.5000002,0.12968378,0.14289966,0.4677367
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,gala,75,low,1,0.8,0.75,0,0,9,0.61466116,0.6282937,0.49999994,0.65828353,0.6600113,0.63710237
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,gala,75,low,2,0.2,0.75,0,1,9,0.38533884,0.37170628,0.50000006,0.34171644,0.33998865,0.36289763
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,hike,50,high,1,0.75,0.5,1,0,10,0.50306827,0.6282937,0.49999985,0.5272561,0.6474535,0.5975681
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,hike,50,high,2,0.25,0.5,1,1,10,0.4969317,0.37170628,0.5000002,0.47274396,0.35254648,0.40243188
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,oysters,50,low,1,1.0,0.5,0,0,11,0.7409539,0.7235868,0.4999999,0.7693491,0.74283445,0.63710237
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,oysters,50,low,2,0.0,0.5,0,1,11,0.25904608,0.27641317,0.50000006,0.23065084,0.2571655,0.36289766
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,social,50,low,1,0.75,0.5,0,0,12,0.8412079,0.740738,0.5,0.85375106,0.7473928,0.59756833
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,social,50,low,2,0.25,0.5,0,1,12,0.15879211,0.25926206,0.49999997,0.14624894,0.2526073,0.40243167
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,soup,100,low,1,1.0,1.0,0,0,13,0.36561906,0.5,0.4999999,0.39984348,0.5326967,0.59756815
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,soup,100,low,2,0.0,1.0,0,1,13,0.63438094,0.5,0.5000001,0.60015655,0.46730322,0.40243182
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,takeout,75,high,1,0.1,0.75,1,0,14,0.48578614,0.6282937,0.49999985,0.52713704,0.6600113,0.6371023
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,takeout,75,high,2,0.9,0.75,1,1,14,0.51421386,0.37170628,0.5000002,0.472863,0.33998865,0.36289775
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,wedding,75,low,1,1.0,0.75,0,0,15,0.6071586,0.61035216,0.49999997,0.636812,0.63151354,0.5975683
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,wedding,75,low,2,0.0,0.75,0,1,15,0.39284137,0.38964784,0.50000006,0.36318806,0.3684865,0.40243176
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,apples,50,high,1,0.4,0.5,1,0,0,0.61805874,0.740738,0.4999998,0.598735,0.728595,0.5254276
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,apples,50,high,2,0.6,0.5,1,1,0,0.38194126,0.25926206,0.50000024,0.40126505,0.27140498,0.4745725
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,basketball,0,low,1,0.98,0.0,0,0,1,0.92023104,0.8726558,0.4999999,0.9243505,0.8717395,0.62400687
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,basketball,0,low,2,0.02,0.0,0,1,1,0.07976899,0.12734424,0.50000006,0.07564955,0.12826048,0.37599316
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,birthday,0,high,1,0.77,0.0,1,0,2,0.8741865,0.8575601,0.49999985,0.8815615,0.8594794,0.63259155
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,birthday,0,high,2,0.23,0.0,1,1,2,0.12581354,0.14243989,0.5000001,0.118438534,0.14052056,0.3674085
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,brunch,0,high,1,0.95,0.0,1,0,3,0.8256773,0.80214316,0.4999999,0.84164,0.8112514,0.6371023
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,brunch,0,high,2,0.05,0.0,1,1,3,0.17432268,0.19785678,0.5000001,0.15836003,0.18874857,0.36289766
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,cooking,50,low,1,0.99,0.5,0,0,4,0.7986849,0.740738,0.49999997,0.8227358,0.75784796,0.63757825
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,cooking,50,low,2,0.01,0.5,0,1,4,0.20131515,0.25926206,0.50000006,0.17726421,0.24215198,0.36242172
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,dip,50,high,1,0.9,0.5,1,0,5,0.64534795,0.740738,0.49999982,0.6726459,0.7577228,0.63710225
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,dip,50,high,2,0.1,0.5,1,1,5,0.3546521,0.25926206,0.5000002,0.32735407,0.2422772,0.36289775
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,drinks,75,low,1,0.1,0.75,0,0,6,0.6136859,0.6190543,0.49999997,0.6585484,0.65194005,0.63710237
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,drinks,75,low,2,0.9,0.75,0,1,6,0.3863141,0.38094574,0.50000006,0.3414516,0.34805992,0.36289763
