fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,param_w_d_substance,param_w_d_space,param_w_d_privacy,param_beta,test_cell_r
2,breakup,access_full_gamma_alpha,341.15093994140625,22.628793716430664,0.3344617058249081,0.33277637818280387,1020,68,0.34284108877182007,1.0,3.149973154067993,1.348820447921753,1.8760546445846558,,,,,0.5777555079231371
2,breakup,access_full_gamma_vpow,340.69708251953125,22.866891860961914,0.3340167475681679,0.336277821484734,1020,68,1.0,0.435045063495636,1.0944453477859497,0.5033772587776184,1.8302695751190186,,,,2.7065045833587646,0.5538104380155414
3,chapstick,access_full_gamma,340.0749206542969,23.625490188598633,0.333406784955193,0.3474336792440975,1020,68,1.0,0.35433894395828247,1.1167799234390259,0.3667210042476654,1.9973078966140747,,,,,0.4150854975040428
3,chapstick,access_full_typed_gamma,339.9729919433594,23.723432540893555,0.33330685484643074,0.348874007954317,1020,68,1.0,0.3560012876987457,,0.3722999691963196,1.9852408170700073,1.2472995519638062,1.1379473209381104,1.001150131225586,,0.41694446590736056
3,chapstick,access_full_gamma_alpha,340.0780334472656,23.619524002075195,0.3334098367130055,0.34734594120698814,1020,68,0.3633204400539398,1.0,3.0578792095184326,1.0405818223953247,2.0250604152679443,,,,,0.41534017779230664
3,chapstick,access_full_gamma_vpow,339.7865295410156,23.692825317382812,0.3331240485696232,0.34842390172621784,1020,68,1.0,0.42506080865859985,1.1249221563339233,0.409821093082428,2.006382942199707,,,,2.1491384506225586,0.40094142315139747
4,gossip,access_full_gamma,341.8415832519531,21.85184669494629,0.33513880710975796,0.3213506866903866,1020,68,1.0,0.3527486324310303,1.0827491283416748,0.3846612870693207,1.9766883850097656,,,,,0.8540097076291033
4,gossip,access_full_typed_gamma,341.77197265625,21.879037857055664,0.3350705614276961,0.32175055672140684,1020,68,1.0,0.35383400321006775,,0.3932907283306122,1.9576451778411865,1.1289420127868652,1.1332439184188843,0.9536324739456177,,0.8485348011597854
4,gossip,access_full_gamma_alpha,341.8455505371094,21.852418899536133,0.33514269660500917,0.32135910146376667,1020,68,0.36197629570961,1.0,2.9752261638641357,1.09344482421875,1.992477536201477,,,,,0.8541462789636329
4,gossip,access_full_gamma_vpow,341.55169677734375,21.91033363342285,0.33485460468367034,0.32221078872680664,1020,68,1.0,0.4306281507015228,1.085889220237732,0.4216268062591553,1.9827282428741455,,,,2.304654836654663,0.8414539213330254
5,hairbrush,access_full_gamma,341.37506103515625,22.351436614990234,0.3346814323874081,0.32869759727926817,1020,68,1.0,0.33969950675964355,1.0640016794204712,0.326254278421402,1.9130630493164062,,,,,0.6111746823937828
5,hairbrush,access_full_typed_gamma,341.34051513671875,22.34497833251953,0.3346475638595282,0.3286026225370519,1020,68,1.0,0.33976733684539795,,0.33287671208381653,1.8964571952819824,1.0732001066207886,1.1270872354507446,0.9918294548988342,,0.6132291425279218
5,hairbrush,access_full_gamma_alpha,341.3809814453125,22.340984344482422,0.3346872367110907,0.32854388741885915,1020,68,0.35059696435928345,1.0,3.014376640319824,0.9716269969940186,1.9301352500915527,,,,,0.6156867921784792
5,hairbrush,access_full_gamma_vpow,341.04058837890625,22.457429885864258,0.3343535180185355,0.33025632185094494,1020,68,1.0,0.4160992205142975,1.0700360536575317,0.35955187678337097,1.8818422555923462,,,,2.258127450942993,0.5752087776210484
6,harmonica,access_full_gamma,341.40692138671875,22.3595027923584,0.33471266802619487,0.3288162175346823,1020,68,1.0,0.3784927725791931,1.0608233213424683,0.35585707426071167,2.0711398124694824,,,,,0.3647105804915226
6,harmonica,access_full_typed_gamma,341.3611755371094,22.42157554626465,0.3346678191540288,0.3297290521509507,1020,68,1.0,0.37660732865333557,,0.3600749373435974,2.0710654258728027,1.0056796073913574,1.1534091234207153,1.0241703987121582,,0.3493259656545486
6,harmonica,access_full_gamma_alpha,341.4079284667969,22.385276794433594,0.3347136553596048,0.3291952469769646,1020,68,0.3849523663520813,1.0,2.7452869415283203,0.9464688897132874,2.103111743927002,,,,,0.3564630360080956
6,harmonica,access_full_gamma_vpow,340.86761474609375,22.71039581298828,0.3341839360255821,0.33397640901453357,1020,68,1.0,0.49652954936027527,1.0681997537612915,0.41525930166244507,2.057063102722168,,,,2.7967159748077393,0.24939641386912176
7,hat,access_full_gamma,339.4773864746094,24.24932861328125,0.33282096713196996,0.35660777372472424,1020,68,1.0,0.3471527397632599,1.1090176105499268,0.3055162727832794,2.046546220779419,,,,,0.343457904319824
7,hat,access_full_typed_gamma,339.42694091796875,24.254642486572266,0.33277151070389094,0.35668591892018037,1020,68,1.0,0.34890395402908325,,0.31136536598205566,2.0154502391815186,1.1680797338485718,1.1421457529067993,1.0141222476959229,,0.3479937027517878
7,hat,access_full_gamma_alpha,339.4805908203125,24.242767333984375,0.33282410864736517,0.35651128432329965,1020,68,0.35658755898475647,1.0,3.096113681793213,0.8922719359397888,2.0861175060272217,,,,,0.3453443968628297
7,hat,access_full_gamma_vpow,339.2840270996094,24.2517147064209,0.3326313991172641,0.3566428633297191,1020,68,1.0,0.40305328369140625,1.1157927513122559,0.3340478241443634,2.05461049079895,,,,1.8681858777999878,0.33555615831495816
8,home,access_full_gamma,341.9653625488281,21.727054595947266,0.3352601593615962,0.31951550876393037,1020,68,1.0,0.34963253140449524,1.0762262344360352,0.38393887877464294,2.053175687789917,,,,,0.7551428335673944
8,home,access_full_typed_gamma,341.8765869140625,21.778270721435547,0.33517312442555147,0.3202686870799345,1020,68,1.0,0.3500595986843109,,0.39630353450775146,2.021240711212158,1.1295692920684814,1.1362805366516113,0.9399462342262268,,0.7514673570790265
8,home,access_full_gamma_alpha,341.9686584472656,21.731325149536133,0.33526339063457417,0.3195783110225902,1020,68,0.359073668718338,1.0,2.984401226043701,1.1044957637786865,2.0816705226898193,,,,,0.7539215433267685
8,home,access_full_gamma_vpow,341.659423828125,21.806947708129883,0.33496021943933824,0.3206904074724983,1020,68,1.0,0.4273897111415863,1.0789529085159302,0.4217029809951782,2.0694029331207275,,,,2.347993850708008,0.739033110236358
9,locker-room,access_full_gamma,339.88238525390625,23.843591690063477,0.33321802475873163,0.35064105426563935,1020,68,1.0,0.3808905780315399,1.1161786317825317,0.42904019355773926,2.0418741703033447,,,,,0.2010795404037785
9,locker-room,access_full_typed_gamma,339.8074951171875,23.879499435424805,0.3331446030560662,0.3511691093444824,1020,68,1.0,0.38150832056999207,,0.4340044856071472,2.004854202270508,1.1480737924575806,1.2087856531143188,1.0038526058197021,,0.21246711949229719
9,locker-room,access_full_gamma_alpha,339.8836669921875,23.8602237701416,0.3332192813648897,0.35088564367855296,1020,68,0.38805317878723145,1.0,2.8663148880004883,1.1329073905944824,2.0782885551452637,,,,,0.19577324694724288
9,locker-room,access_full_gamma_vpow,339.85369873046875,23.73158836364746,0.33318990071614585,0.3489939465242274,1020,68,1.0,0.411782830953598,1.116236686706543,0.44880130887031555,2.0382885932922363,,,,1.4717683792114258,0.23162138516094305
10,navigation,access_full_gamma,339.5835876464844,24.203994750976562,0.33292508592792586,0.3559410992790671,1020,68,1.0,0.3398822844028473,1.1682995557785034,0.3759698271751404,1.9895505905151367,,,,,0.25545034396404454
10,navigation,access_full_typed_gamma,339.5316162109375,24.456174850463867,0.3328741335401348,0.3596496301538804,1020,68,1.0,0.3388301134109497,,0.37007397413253784,1.997427225112915,1.1228786706924438,1.1319961547851562,1.2869497537612915,,0.23686759577183314
10,navigation,access_full_gamma_alpha,339.5888671875,24.16738510131836,0.3329302619485294,0.35540272207821116,1020,68,0.35104429721832275,1.0,3.3115642070770264,1.1083104610443115,2.0136098861694336,,,,,0.262902109348544
10,navigation,access_full_gamma_vpow,339.4690246582031,24.148344039916992,0.33281276927274817,0.35512270646936756,1020,68,1.0,0.3792083263397217,1.1693114042282104,0.39515480399131775,2.0176596641540527,,,,1.6248329877853394,0.2547811442442464
11,payment,access_full_gamma,341.8812255859375,21.865814208984375,0.335177672143076,0.32155609130859375,1020,68,1.0,0.3649599552154541,1.0324400663375854,0.38181835412979126,2.000398874282837,,,,,0.7267085267007336
11,payment,access_full_typed_gamma,341.5301513671875,22.404325485229492,0.33483348173253674,0.32947537478278666,1020,68,1.0,0.37463557720184326,,0.40745189785957336,1.9316306114196777,1.1416772603988647,1.138463020324707,0.7456330060958862,,0.6211677911814957
11,payment,access_full_gamma_alpha,341.8833923339844,21.887290954589844,0.33517979640586704,0.32187192580279184,1020,68,0.3722943663597107,1.0,2.759188175201416,1.0491782426834106,2.018303394317627,,,,,0.7211602997926438
11,payment,access_full_gamma_vpow,341.67913818359375,21.86339569091797,0.3349795472388174,0.3215205248664407,1020,68,1.0,0.4304235577583313,1.0371642112731934,0.41742953658103943,2.0072178840637207,,,,1.969186782836914,0.7163841342357785
12,sauna,access_full_gamma,341.3176574707031,22.424903869628906,0.3346251543830423,0.329777998082778,1020,68,1.0,0.33358651399612427,1.0870139598846436,0.33664068579673767,1.8504817485809326,,,,,0.560607705930013
12,sauna,access_full_typed_gamma,341.2374572753906,22.47907829284668,0.33454652674057905,0.33057468077715707,1020,68,1.0,0.3339959383010864,,0.3443165421485901,1.815189003944397,1.107958197593689,1.1867955923080444,0.9764419198036194,,0.54946368702754
12,sauna,access_full_gamma_alpha,341.32476806640625,22.39743995666504,0.33463212555530025,0.32937411700978,1020,68,0.3463617265224457,1.0,3.119267463684082,1.0171148777008057,1.8589789867401123,,,,,0.5643575735228092
12,sauna,access_full_gamma_vpow,341.29510498046875,22.306459426879883,0.3346030440984988,0.3280361680423512,1020,68,1.0,0.36616605520248413,1.0889570713043213,0.3589002192020416,1.8519518375396729,,,,1.500473976135254,0.5836012751715204
13,sleeping-bag,access_full_gamma,340.82098388671875,22.888368606567383,0.3341382194967831,0.3365936559789321,1020,68,1.0,0.3646177649497986,1.1053766012191772,0.431171178817749,2.015021562576294,,,,,0.7578306943512123
13,sleeping-bag,access_full_typed_gamma,340.7336120605469,22.94962501525879,0.3340525608436734,0.3374944855185116,1020,68,1.0,0.3658561110496521,,0.44491085410118103,2.0108723640441895,1.1342331171035767,1.2191824913024902,0.9924340844154358,,0.7611158194583613
13,sleeping-bag,access_full_gamma_alpha,340.8240966796875,22.895248413085938,0.3341412712545956,0.33669482960420494,1020,68,0.37361979484558105,1.0,2.945183038711548,1.1848373413085938,2.046860694885254,,,,,0.7559851467003454
13,sleeping-bag,access_full_gamma_vpow,340.64935302734375,22.856281280517578,0.33396995394837625,0.3361217835370232,1020,68,1.0,0.4187427759170532,1.1108691692352295,0.4556398093700409,2.047914505004883,,,,1.8880170583724976,0.7642085146113191
14,sunscreen,access_full_gamma,340.9870910644531,22.723289489746094,0.33430106967103246,0.3341660219080308,1020,68,1.0,0.3476218581199646,1.066892385482788,0.41777825355529785,1.9529590606689453,,,,,0.666464144195453
14,sunscreen,access_full_typed_gamma,340.9414978027344,22.723087310791016,0.33425637039483763,0.33416304868810315,1020,68,1.0,0.3484080135822296,,0.4263238310813904,1.9305846691131592,1.095855951309204,1.1261862516403198,0.9784908294677734,,0.6670389380958317
14,sunscreen,access_full_gamma_alpha,340.9914245605469,22.721837997436523,0.3343053181966146,0.33414467643289003,1020,68,0.3574365973472595,1.0,2.968926191329956,1.200353741645813,1.9719661474227905,,,,,0.664111816858848
14,sunscreen,access_full_gamma_vpow,340.8587341308594,22.677642822265625,0.33417522954005824,0.33349474738625917,1020,68,1.0,0.39233940839767456,1.0723837614059448,0.4437006711959839,1.9709807634353638,,,,1.6765447854995728,0.676411317204854
15,towel,access_full_gamma,339.8749694824219,23.844039916992188,0.33321075439453124,0.3506476458381204,1020,68,1.0,0.3604925870895386,1.1358305215835571,0.4169239401817322,2.120432138442993,,,,,0.4694363704108834
15,towel,access_full_typed_gamma,339.734375,24.016403198242188,0.33307291666666666,0.3531823999741498,1020,68,1.0,0.3651045560836792,,0.4315875470638275,2.12229323387146,1.2918061017990112,1.1461855173110962,1.0045802593231201,,0.47784908078706034
15,towel,access_full_gamma_alpha,339.880615234375,23.846343994140625,0.33321628944546566,0.35068152932559743,1020,68,0.3721693754196167,1.0,3.031604766845703,1.1577457189559937,2.158715009689331,,,,,0.4673306710851002
15,towel,access_full_gamma_vpow,339.73870849609375,23.81934356689453,0.3330771651922488,0.35028446421903725,1020,68,1.0,0.4041525423526764,1.1420495510101318,0.44311001896858215,2.1473183631896973,,,,1.6700531244277954,0.47759516134619295
