experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e,param_gamma
intimacy_noalt,no_access_padded,4,cooking,0.9000028967857361,2007.57763671875,133.83850574493408,435,29,1.0196059942245483,,0.9036737680435181,
intimacy_noalt,no_access_padded,5,dip,0.8999872207641602,2007.57763671875,133.83850288391113,435,29,0.9651291966438293,,1.0922470092773438,
intimacy_noalt,no_access_padded,6,drinks,0.8999978303909302,2007.57763671875,133.8384919166565,435,29,0.9024118185043335,,1.063825249671936,
intimacy_noalt,no_access_padded,7,driving,0.9000014662742615,2007.5775146484375,133.83849096298218,435,29,1.0210154056549072,,1.0820952653884888,
intimacy_noalt,no_access_padded,8,fair,0.899995744228363,2007.57763671875,133.8384919166565,435,29,1.0986378192901611,,0.9001618027687073,
intimacy_noalt,no_access_padded,9,gala,0.8999958634376526,2007.57763671875,133.83850288391113,435,29,1.0823605060577393,,0.9308039546012878,
intimacy_noalt,no_access_padded,10,hike,0.899995744228363,2007.57763671875,133.8384919166565,435,29,1.098736047744751,,0.9039196372032166,
intimacy_noalt,no_access_padded,11,oysters,0.8999941349029541,2007.57763671875,133.8384919166565,435,29,1.0948715209960938,,1.0856598615646362,
intimacy_noalt,no_access_padded,12,social,0.899994969367981,2007.57763671875,133.8384919166565,435,29,0.9720786809921265,,0.9109966158866882,
intimacy_noalt,no_access_padded,13,soup,0.8999972939491272,2007.57763671875,133.8384919166565,435,29,0.9873204231262207,,1.0920203924179077,
intimacy_noalt,no_access_padded,14,takeout,0.8999964594841003,2007.57763671875,133.83849382400513,435,29,1.0922799110412598,,0.9404685497283936,
intimacy_noalt,no_access_padded,15,wedding,0.8999981880187988,2007.57763671875,133.83848762512207,435,29,1.0996761322021484,,0.9239219427108765,
