subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
260d4ae9-39b8-566b-b12b-a73acc6b7b65,bed,12,low_risk_share,somewhat_formal,posterior,0.81,0.21
260d4ae9-39b8-566b-b12b-a73acc6b7b65,bed,12,low_risk_share,somewhat_formal,prior,0.67,0.5
260d4ae9-39b8-566b-b12b-a73acc6b7b65,blanket,9,high_risk_share,somewhat_formal,posterior,0.92,0.64
260d4ae9-39b8-566b-b12b-a73acc6b7b65,blanket,9,high_risk_share,somewhat_formal,prior,0.96,0.34
260d4ae9-39b8-566b-b12b-a73acc6b7b65,breakup,11,low_risk_share,somewhat_intimate,posterior,0.49,0.29
260d4ae9-39b8-566b-b12b-a73acc6b7b65,breakup,11,low_risk_share,somewhat_intimate,prior,0.49,0.7
260d4ae9-39b8-566b-b12b-a73acc6b7b65,chapstick,10,no_share,max_formal,posterior,0.19,0.49
260d4ae9-39b8-566b-b12b-a73acc6b7b65,chapstick,10,no_share,max_formal,prior,0.33,0.85
260d4ae9-39b8-566b-b12b-a73acc6b7b65,earbuds,15,high_risk_share,max_intimate,posterior,0.89,0.86
260d4ae9-39b8-566b-b12b-a73acc6b7b65,earbuds,15,high_risk_share,max_intimate,prior,0.88,0.31
260d4ae9-39b8-566b-b12b-a73acc6b7b65,gossip,7,high_risk_share,max_intimate,posterior,0.92,0.95
260d4ae9-39b8-566b-b12b-a73acc6b7b65,gossip,7,high_risk_share,max_intimate,prior,0.89,0.26
260d4ae9-39b8-566b-b12b-a73acc6b7b65,hairbrush,6,low_risk_share,somewhat_intimate,posterior,0.96,0.16
260d4ae9-39b8-566b-b12b-a73acc6b7b65,hairbrush,6,low_risk_share,somewhat_intimate,prior,0.93,0.29
260d4ae9-39b8-566b-b12b-a73acc6b7b65,harmonica,13,high_risk_share,somewhat_intimate,posterior,0.71,0.85
260d4ae9-39b8-566b-b12b-a73acc6b7b65,harmonica,13,high_risk_share,somewhat_intimate,prior,0.28,0.64
260d4ae9-39b8-566b-b12b-a73acc6b7b65,home,2,no_share,somewhat_formal,posterior,0.21,0.82
260d4ae9-39b8-566b-b12b-a73acc6b7b65,home,2,no_share,somewhat_formal,prior,0.5,0.32
260d4ae9-39b8-566b-b12b-a73acc6b7b65,locker-room,5,no_share,max_intimate,posterior,0.13,0.86
260d4ae9-39b8-566b-b12b-a73acc6b7b65,locker-room,5,no_share,max_intimate,prior,0.95,0.18
260d4ae9-39b8-566b-b12b-a73acc6b7b65,navigation,4,low_risk_share,max_intimate,posterior,0.96,0.92
260d4ae9-39b8-566b-b12b-a73acc6b7b65,navigation,4,low_risk_share,max_intimate,prior,1.0,0.04
260d4ae9-39b8-566b-b12b-a73acc6b7b65,salary,8,no_share,somewhat_intimate,posterior,0.15,0.86
260d4ae9-39b8-566b-b12b-a73acc6b7b65,salary,8,no_share,somewhat_intimate,prior,0.36,0.66
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sauna,1,high_risk_share,max_formal,posterior,0.95,0.04
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sauna,1,high_risk_share,max_formal,prior,0.03,0.31
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sleeping-bag,14,high_risk_share,max_formal,posterior,0.87,0.53
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sleeping-bag,14,high_risk_share,max_formal,prior,0.93,0.5
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sunscreen,3,low_risk_share,max_formal,posterior,0.91,0.16
260d4ae9-39b8-566b-b12b-a73acc6b7b65,sunscreen,3,low_risk_share,max_formal,prior,0.87,0.75
260d4ae9-39b8-566b-b12b-a73acc6b7b65,towel,0,no_share,somewhat_formal,posterior,0.93,1.0
260d4ae9-39b8-566b-b12b-a73acc6b7b65,towel,0,no_share,somewhat_formal,prior,0.91,0.93
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,bed,9,high_risk_share,somewhat_formal,posterior,1.0,0.91
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,bed,9,high_risk_share,somewhat_formal,prior,1.0,0.25
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,blanket,12,no_share,somewhat_intimate,posterior,0.93,0.75
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,blanket,12,no_share,somewhat_intimate,prior,0.97,0.75
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,breakup,1,low_risk_share,somewhat_intimate,posterior,0.58,0.25
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,breakup,1,low_risk_share,somewhat_intimate,prior,0.9,0.73
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,chapstick,10,low_risk_share,max_formal,posterior,1.0,0.03
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,chapstick,10,low_risk_share,max_formal,prior,1.0,0.25
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,earbuds,11,low_risk_share,somewhat_formal,posterior,1.0,0.0
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,earbuds,11,low_risk_share,somewhat_formal,prior,0.75,0.21
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,gossip,4,high_risk_share,max_formal,posterior,1.0,0.94
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,gossip,4,high_risk_share,max_formal,prior,0.75,0.24
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,hairbrush,5,no_share,max_formal,posterior,0.9,0.5
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,hairbrush,5,no_share,max_formal,prior,1.0,0.16
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,harmonica,15,low_risk_share,somewhat_intimate,posterior,1.0,0.27
277b71a5-9dbf-5db4-b18c-9c6b58bfd0d3,harmonica,15,low_risk_share,somewhat_intimate,prior,0.75,0.58
